CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.05.04;Outros Investimentos;0.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.06;Imobilizado;14118006.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.06;Imobilizado;14363522.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.06.01;Imobilizado de Uso;10299022.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.06.01;Imobilizado de Uso;10432586.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.06.02;Direito de Uso de Arrendamento;3818984.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.06.02;Direito de Uso de Arrendamento;3930936.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.06.03;Depreciação Acumulada;0.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.06.03;Depreciação Acumulada;0.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.07;Intangível;10801929.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.07;Intangível;10488331.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.07.01;Intangíveis;10801929.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.07.01;Intangíveis;10488331.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.07.02;Goodwill;0.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.07.02;Goodwill;0.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.07.03;Amortização Acumulada;0.0000000000;S
00.000.000/0001-91;2024-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.07.03;Amortização Acumulada;0.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1;Ativo Total;2153878452.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1;Ativo Total;2330349036.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01;Caixa e Equivalentes de Caixa;56999814.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.01;Caixa e Equivalentes de Caixa;85770646.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.01;Caixa;17327745.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.01.01;Caixa;25772874.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02;Aplicações de Liquidez;39672069.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.01.02;Aplicações de Liquidez;59997772.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02;Ativos Financeiros;1935460343.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02;Ativos Financeiros;2078677028.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01;Depósito Compulsório Banco Central;99805901.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02.01;Depósito Compulsório Banco Central;111855273.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;14173304.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;21154392.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.01;Títulos e Valores Mobiliários;12199618.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02.02.01;Títulos e Valores Mobiliários;15171283.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.02;Derivativos;1973686.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02.02.02;Derivativos;5983109.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;401442335.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;489164925.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.03.01;Títulos e Valores Mobiliários;401442335.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02.03.01;Títulos e Valores Mobiliários;489164925.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;1420038803.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-06-30;1.02.04;Ativos Financeiros ao Custo Amortizado;1456502438.0000000000;S
00.000.000/0001-91;2024-06-30;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;19425777.0000000000;S
